geoname_id;code_insee
2975525;91589
2998056;93046
3020035;88160
2977824;93070
2983770;44143
2992415;78423
2990187;93053
2994651;77288
3035409;92007
2995206;91377
3014078;67180
2992017;92049
2995908;59378
2967870;13117
3020850;83050
3003093;62498
3016830;93032
2981206;42207
3029931;69029
2970456;69256
3012219;37122
3038213;94002
3009824;93027
3026141;86066
2968482;93078
3029030;59122
2986501;78498
3023924;78172
2992771;40192
2986930;78490
7284888;13055
2995750;13054
3021411;76217
2992703;26198
2971874;93073
3025055;94022
2978317;38421
2996882;71270
2983011;26281
2977246;83118
3024195;77373
2974427;83129
2987967;24322
3036016;15014
2990612;93050
2998431;62510
3038634;47001
3017341;95252
2980558;91549
2995150;59392
3035403;93006
2975758;49328
3032797;64122
3010025;13028
3020495;38151
2968748;69264
3026108;92019
2973841;93072
3026083;92020
2969284;38544
2975446;67447
3000192;78440
3002965;94058
3014143;78297
2988758;91477
2980816;52448
3022610;60175
2970797;54547
2972742;74281
3033002;62119
3024223;31149
2990265;94052
3036460;91027
2967917;91687
3013097;78311
2974389;02722
3020810;28134
3026637;94018
2968529;94078
3020310;78208
3038230;61001
2974153;76681
2989460;84087
2968620;33550
2986140;95500
2968142;94079
3026033;78146
3015490;95280
2997803;59350
2969257;18279
2978072;33449
2972893;94073
3028542;84031
2998632;94038
2994497;06083
2978891;06123
2980340;17415
2983276;17299
2996514;92046
3020832;91201
2978771;71436
2976984;44190
3004630;78158
2972237;31557
3024596;93014
3025892;52121
2980236;76575
2994048;69282
2967245;91691
2992938;25388
2981041;92064
2975050;89387
3007477;02408
3008218;59328
2972049;78621
2983154;12202
3033391;24037
3037538;74012
3009223;83062
3019897;95219
2983536;69286
2968653;93077
2987271;93059
3003737;94043
3027014;77083
3038350;73008
3032824;95063
2970962;06155
2973258;95607
3012834;67218
3006283;33529
3020062;51230
2968176;95680
2969392;03310
2976179;95582
3015689;95277
2969109;91657
3028134;84035
2984513;78517
3025466;50129
3036903;59017
2997116;34145
3029276;94016
3003952;76322
3038789;80001
3009169;92035
2992402;57480
2970761;92075
2969766;27681
2975536;77445
3021263;39198
2968515;47323
6615536;91692
7284883;13055
2988888;01283
2988998;69149
3004427;71153
3013525;62427
2989170;44114
3023356;59155
3013477;95306
2983440;91521
2973745;94071
3014646;91286
3017178;94034
3030960;38053
2983026;93063
3017924;92032
3021662;69275
2980827;88413
3018095;38169
3036281;32013
3029825;62178
2998150;14366
2975964;57631
2972444;77468
3015419;33192
3007794;56098
3030257;91103
2991153;31395
3032070;92009
3032469;31069
3013403;14327
2998517;33243
3005066;33069
2993760;13063
3034126;21054
3020601;95203
3029748;91114
2968496;77514
2992616;93047
2974678;92072
3017609;35115
2977388;59183
3008379;59368
3016078;91272
6615539;38053
3033881;33039
3029213;46042
2993875;12145
3013619;59295
3015160;59271
3005825;83144
2991481;03190
2992003;76451
3019459;91223
2993207;59410
3038638;34003
2977800;95572
2969612;44215
2992536;91421
2996564;78358
3002465;43157
3002880;76498
2997556;33249
2989611;45232
3038712;78005
2988867;77350
3002650;92060
3027950;33119
3024107;77122
3021670;40088
3016956;34108
2967758;38563
2997620;59360
3003481;77285
2968555;92078
3018794;76259
3023645;95176
2980586;69202
2969958;55545
2970203;78640
2978758;50502
2997110;54329
3021516;95197
3010529;78126
3037540;74010
2975469;92071
3007609;22113
3021605;59172
3038159;13002
3024035;29039
3019193;33162
3022376;59163
3017805;57227
2996180;04112
2978621;94067
2992229;95428
3016667;13041
3000491;93045
3018280;45147
3021852;77152
2983074;77390
2979985;69204
2978742;68297
3024440;16102
2977952;91570
2997712;91345
3030303;79049
2970432;95637
2997626;39300
2986732;56162
3009071;77243
2975349;08409
2989297;94054
2986302;25462
3027453;63075
2994087;38229
2992863;71306
3014034;59279
2983489;63300
3025314;94021
8504417;92062
2980467;13055
2982967;41194
2996146;78362
2987825;84089
2991719;91434
2969562;70550
2979341;45284
3000047;13071
3024532;74081
3030985;26058
2968771;38553
2979627;95555
3000060;93057
3018074;77186
3013549;59299
2990264;60463
3035396;30028
3023324;44047
3020392;69081
3022700;74010
2967438;59646
2996255;06079
2970110;41269
2997336;27375
3014175;33199
2976258;83123
2975088;60612
3038266;73011
2998305;94044
3012162;95323
2995642;47157
2982343;17306
2995041;78383
3021382;04070
2991551;06085
3027513;85047
2975233;67462
3016675;92033
3025144;91161
3030990;92014
3019960;50129
3022988;63124
3025715;92022
2990616;93049
3031709;94011
2974188;84129
2970148;06157
11919779;13055
3002647;94059
3034911;55029
2974655;74010
2993679;77294
3028486;62215
2998311;78335
3009443;72154
2986933;31424
3010237;44035
3035667;62065
3037514;07010
2982944;59507
2995121;34154
3025509;94019
3035883;71014
2981492;57606
2972270;50129
2977845;62765
3037051;61006
3015902;69091
3012313;94042
3028535;44026
3027763;33122
3028337;34057
