geoname_id;code_insee
2968216;27694
2968217;91560
2968218;27693
2968219;21702
2968220;54584
2968221;54583
2968222;17476
2968223;41292
2968224;51628
2968225;45343
2968226;10287
2968227;07342
2968228;28016
2968229;18154
2968230;23032
2968231;39574
2968232;05038
2968233;05070
2968234;04167
2968235;04043
2968236;30352
2968237;63319
2968238;34341
2968239;91482
2968240;24309
2968241;63165
2968242;49377
2968243;03072
2968244;51641
2968245;58097
2968246;23041
2968247;28287
2968248;12167
2968249;77517
2968250;89468
2968251;23076
2968252;23201
2968253;19241
2968254;69266
2968255;10429
2968256;27692
2968257;39573
2968258;28393
2968259;39572
2968260;38558
2968261;38557
2968263;54582
2968264;78677
2968265;01449
2968266;73043
2968267;73006
2968268;38412
2968269;41291
2968270;11440
2968271;24586
2968272;47325
2968273;89467
2968274;34340
2968275;93079
2968276;06071
2968277;06071
2968278;06133
2968279;54581
2968280;51640
2968281;10428
2968282;55568
2968283;08484
2968284;08483
2968285;69265
2968286;88508
2968287;55567
2968288;10427
2968289;80807
2968290;84148
2968291;11439
2968292;34339
2968293;10426
2968294;38556
2968295;11438
2968296;45313
2968297;23206
2968298;11437
2968299;11436
2968300;46335
2968301;51638
2968302;60693
2968303;02817
2968304;23144
2968305;91223
2968306;58036
2968307;28233
2968308;86118
2968309;36140
2968310;77516
2968311;89120
2968312;01448
2968313;10425
2968315;14755
2968316;54580
2968317;60692
2968318;60691
2968319;70568
2968320;80805
2968321;70567
2968322;70566
2968323;57719
2968324;55566
2968325;14754
2968326;80444
2968327;27691
2968328;08482
2968329;02816
2968330;60689
2968331;60688
2968332;80806
2968333;60687
2968334;57718
2968335;60686
2968336;54579
2968337;55565
2968338;25628
2968339;76744
2968340;51637
2968341;25627
2968342;55060
2968343;80804
2968344;62860
2968345;59627
2968346;08480
2968347;60685
2968348;60684
2968349;25626
2968350;60683
2968351;60682
2968352;02815
2968353;60681
2968354;21701
2968355;39571
2968356;59626
2968357;59625
2968358;21700
2968359;70565
2968360;59624
2968361;51636
2968362;62859
2968363;08479
2968364;08478
2968365;80803
2968366;21699
2968367;36202
2968368;54578
2968369;54577
2968370;55563
2968371;70564
2968372;02814
2968373;02813
2968374;51635
2968375;55562
2968376;70563
2968377;39570
2968378;54576
2968379;25321
2968380;51634
2968381;70562
2968382;54575
2968383;21698
2968384;25625
2968385;54574
2968386;02812
2968387;59623
2968388;25624
2968389;51633
2968390;80802
2968391;39569
2968392;70561
2968393;39568
2968394;27690
2968395;02439
2968396;61167
2968397;54573
2968398;59622
2968399;95676
2968400;51632
2968401;76743
2968402;08477
2968403;08476
2968404;55561
2968405;02810
2968406;25623
2968407;62857
2968408;08053
2968409;80801
2968410;14753
2968411;80800
2968412;59574
2968413;25622
2968414;62856
2968415;80799
2968417;70560
2968418;80798
2968419;14752
2968420;55560
2968421;51631
2968422;80797
2968423;51630
2968424;59620
2968425;62855
2968426;62854
2968427;51629
2968428;02809
2968430;76344
2968431;27016
2968432;77407
2968433;77266
2968434;88507
2968435;10213
2968436;18286
2968437;18045
2968438;18252
2968439;42333
2968440;55559
2968441;80810
2968442;34301
2968443;80796
2968444;77515
2968445;89466
2968446;11435
2968448;95675
2968449;28364
2968450;41290
2968451;28002
2968452;41289
2968453;01447
2968454;02808
2968455;10424
2968456;42332
2968457;27214
2968458;18056
2968459;23250
2968460;59619
2968461;28032
2968462;45342
2968463;47324
2968464;41288
2968466;23114
2968467;87018
2968468;41287
2968469;57717
2968470;18286
2968471;02807
2968472;76164
2968473;18019
2968474;28390
2968475;78674
2968476;58086
2968477;44218
2968478;89125
2968479;41286
2968480;37001
2968481;06071
2968482;93078
2968483;11434
2968484;36230
2968485;89059
2968486;83061
2968487;83061
2968488;86293
2968489;89465
2968490;28114
2968491;37278
2968492;18237
2968493;26376
2968494;10060
2968495;70559
2968496;77514
2968497;53272
2968498;22175
2968499;41285
2968500;36244
2968501;28330
2968502;77513
2968503;17474
2968504;31589
2968505;36052
2968506;21689
2968507;78672
2968508;34338
2968509;56078
2968510;31588
2968511;89464
2968512;81319
2968513;60680
2968515;47323
2968516;02806
2968517;45341
2968518;18285
2968519;77512
2968520;91671
2968521;03316
2968522;39567
2968523;77511
2968524;21696
2968525;51628
2968526;89463
2968527;28422
2968528;02805
2968529;94078
2968530;77510
2968531;51627
2968532;11433
2968533;06161
2968534;60678
2968535;11432
2968536;34337
2968537;81318
2968538;89462
2968539;11431
2968540;39018
2968541;63459
2968542;31587
2968543;77509
2968544;34336
2968545;30351
2968546;94077
2968547;31586
2968548;77508
2968549;66228
2968550;89461
2968551;77027
2968552;51625
2968553;77527
2968554;89460
2968555;92078
2968556;89459
2968557;17474
2968558;11430
2968559;41284
2968560;71579
2968561;09339
2968562;09338
2968563;09264
2968564;09336
2968565;66005
2968566;31585
2968567;06160
2968568;47134
2968569;40331
2968570;38555
2968571;66227
2968572;47321
2968573;33551
2968574;07341
2968575;12301
2968576;39565
2968577;59009
2968578;25621
2968579;43264
2968580;10422
2968581;38185
2968582;95676
2968583;28167
2968584;28313
2968586;45004
2968587;44065
2968588;45040
2968589;89351
2968590;21633
2968591;18179
2968592;18035
2968593;36083
2968594;18175
2968595;58074
2968596;18164
2968597;79016
2968598;86070
2968599;86262
2968600;03107
2968601;01446
2968602;16064
2968603;87191
2968604;69289
2968605;63458
2968606;38422
2968607;43268
2968608;43234
2968609;05161
2968610;24366
2968611;05104
2968612;48116
2968613;48193
2968614;04242
2968615;13004
2968616;09335
2968617;89458
2968618;65477
2968619;65476
2968620;33550
2968621;33549
2968622;40330
2968623;77507
2968624;10420
2968625;04241
2968626;31584
2968627;45340
2968628;65475
2968629;10419
2968630;45339
2968631;11429
2968632;01445
2968633;22313
2968634;22136
2968636;86291
2968637;52094
2968638;17473
2968639;10418
2968640;08311
2968641;02804
2968642;23056
2968643;23229
2968644;87043
2968645;19241
2968646;87064
2968647;87078
2968648;63293
2968649;42331
2968650;18235
2968651;87180
2968652;23090
2968653;93077
2968654;66226
2968655;91667
2968656;58261
2968657;49183
2968658;10417
2968660;38554
2968661;63165
2968662;28415
2968663;52094
2968664;10416
2968665;77506
2968666;89196
2968667;77053
2968668;58131
2968669;33429
2968670;60677
2968671;65474
2968672;10003
2968674;23056
2968675;77035
2968676;31583
2968677;73055
2968678;77505
2968679;77504
2968680;41283
2968681;89456
2968682;45338
2968683;28122
2968684;79349
2968685;42234
2968686;34335
2968687;11428
2968688;82195
2968689;10414
2968690;66225
2968691;66224
2968692;11427
2968694;63381
2968695;05165
2968696;65473
2968697;38073
2968698;38428
2968699;37277
2968700;80795
2968701;84147
2968702;58311
2968703;74305
2968704;91666
2968705;94076
2968706;16412
2968707;87142
2968708;35362
2968709;36085
2968710;16411
2968711;23092
2968712;03231
2968713;24248
2968714;63326
2968715;55184
2968716;54572
2968717;22201
2968718;41282
2968719;22046
2968720;52014
2968721;10019
2968723;52529
2968724;77262
2968725;36243
2968726;33548
2968727;35142
2968729;36242
2968730;36060
2968731;11426
2968732;36111
2968733;18284
2968734;58077
2968735;71577
2968736;27689
2968737;16410
2968738;89264
2968739;11425
2968740;77020
2968741;89120
2968742;03155
2968743;65472
2968744;64558
2968745;70557
2968746;41281
2968748;69264
2968749;06159
2968750;89086
2968751;26375
2968752;47320
2968753;24585
2968755;12300
2968756;12299
2968757;24584
2968758;31582
2968759;66223
2968760;03315
2968761;81317
2968763;55471
2968764;77115
2968765;41280
2968766;32465
2968768;48198
2968769;11424
2968770;87045
2968771;38553
2968772;79348
2968773;11423
2968774;77261
2968775;21694
2968778;87206
2968779;36140
2968780;89453
2968781;16409
2968782;53040
2968783;22313
2968784;55557
2968785;54571
2968786;51624
2968787;51623
2968788;74304
2968789;52528
2968790;25620
2968791;11422
2968793;17472
2968794;22136
2968795;18163
2968796;51622
2968797;37276
2968798;37275
2968799;2B352
2968800;36241
2968801;50639
2968802;61505
2968803;41279
2968804;76343
2968805;49023
2968808;21693
2968809;41097
2968810;42221
2968811;15262
2968812;84146
2968813;55556
2968814;55555
2968816;43102
2968817;91573
2968818;23196
2968819;92077
2968820;41297
2968821;11421
2968822;83149
2968823;94075
2968824;80794
2968825;58088
2968826;91662
2968827;21692
2968828;12298
2968829;32464
2968830;55554
2968832;89452
2968833;50359
2968834;35198
2968835;89451
2968836;10412
2968837;36184
2968838;23124
2968839;69263
2968840;41278
2968841;22385
2968842;45266
2968843;39485
2968844;36202
2968845;23168
2968846;54570
2968847;10145
2968848;77501
2968849;10240
2968850;18283
2968851;77236
2968853;36239
2968854;82194
2968855;03314
2968856;47319
2968857;41277
2968858;37274
2968859;89450
2968860;03288
2968861;91661
2968862;28414
2968863;28005
2968864;03296
2968865;26374
2968866;16408
2968867;01444
2968868;16416
2968869;89449
2968870;21691
2968871;21690
2968872;36149
2968873;49374
2968874;58086
2968875;77500
2968876;11420
2968877;50637
2968878;23148
2968879;41276
2968880;61474
2968881;53262
2968882;54569
2968883;54568
2968884;28412
2968885;38186
2968893;60676
2968894;67507
2968897;74303
2968898;41274
2968899;11419
2968900;31581
2968901;49061
2968902;18165
2968903;58302
2968904;44075
2968905;2A004
2968906;11418
2968907;15225
2968908;11417
2968909;11416
2968910;06158
2968911;25618
2968912;25617
2968913;52060
2968914;25616
2968915;52526
2968916;90105
2968917;01443
2968918;17470
2968919;25615
2968920;70554
2968921;21203
2968922;21688
2968923;21689
2968924;17469
2968925;52525
2968926;21232
2968927;04240
2968928;04039
2968929;05183
2968930;11415
2968932;77414
2968933;28411
2968934;16198
2968935;42330
2968936;24582
2968937;84145
2968938;73040
2968939;73323
2968940;73322
2968941;77384
2968942;36032
2968943;21543
2968944;58236
2968945;73227
2968946;28233
2968947;73244
2968948;73257
